#,Channel Name,Subscribers,Videos,Total Views,About / Niche,Channel
31,Visit Greece,39800,,,Official Greek tourism,https://www.youtube.com/channel/UC25dAjaFcMTMiS-Is-wUzvA
32,GreekReporter,33400,,,Greek news worldwide,https://www.youtube.com/channel/UCpKcsKKx97iT9MltKfbTklQ
33,Visit my Greece,28400,,,Travel around Greece,https://www.youtube.com/channel/UC8Vdxd_Askh3MvKnhqLtGBQ
34,Greek Music Channel,28200,,,Greek music videos,https://www.youtube.com/channel/UC5G0O182Pfa70I3VgMw6gUQ
35,Pola Salem,22200,,,Lifestyle & travel,https://www.youtube.com/@pola_salem
36,GikouBrothers,21500,,,Football entertainment,https://www.youtube.com/@GikouBrothers
37,Greek Cooking Made Easy,20600,,,Greek cooking tutorials,https://www.youtube.com/channel/UCQFz18E4s9NcvQkC3-vaf7g
38,Omilo Greek Language & Culture,18200,,,Greek language courses,https://www.youtube.com/channel/UCILTfI7JNa3wxWf6tTpyWzg
39,Just.Yuvii,15200,,,Crime stories & entertainment,https://www.youtube.com/@YuVii999
40,Tiffany Schureman,12900,,,Expat life in Greece,https://www.youtube.com/channel/UCfLCRgtcVwUKBecqDTJEvng
41,WB Games Spain,49400,,,Gaming (Spanish market),https://www.youtube.com/channel/UCOIBtYb-H_V93qYbDSf4Nng
42,LIVESPAIN CLUB,43900,,,Life in Spain (Russian-speaking),https://www.youtube.com/channel/UCdK1MXLWOgf8I__HcBP62-w
43,Spain Walking Tour,35700,,,Walking tours across Spain,https://www.youtube.com/channel/UCTlznSMXFZhf5PlAh7joBPQ
44,eurovision-spain.com,34800,,,Eurovision coverage,https://www.youtube.com/channel/UCo2ydguV0jvF_J85JGBvwxg
45,How To Spain,21400,,,Guides for foreigners in Spain,https://www.youtube.com/channel/UCQFrXjXnpKsY-nNXAYCyq_A
46,Life in Spain,17400,,,Tourism & things to do,https://www.youtube.com/channel/UC-FqQ2PwI
47,Dini Mizo in Spain,15300,,,Life in Spain vlog,https://www.youtube.com/channel/UCMf_C8Qp5p7qkrBxf_BJldQ
48,SPAIN TOURISM,11800,,,Travel festivals & culture,https://www.youtube.com/channel/UCiaBna1qU
49,Brits living in Spain,6000,,,Exploring & eating around Spain,https://www.youtube.com/channel/UCaPAqOxW_
50,All About Spain by BarryHaylor,5900,,,Northern Costa Blanca living,https://www.youtube.com/channel/UCrFbLNa5D
51,LolloIMilanistiOfficial,40800,,,Sports & tech,https://www.youtube.com/@LolloIMilanistiOfficial
52,Italy Together,29700,,,Beauty of Italy travel,https://www.youtube.com/channel/UCXShrwUf6EFSnYeRlVJuMXA
53,Italy by Italians,29600,,,Local Italian travel tips,https://www.youtube.com/channel/UCt1DgiubiuOxHjHKzeFl5OQ
54,Our Italian Dream House,20300,,,Renovation & expat life,https://www.youtube.com/channel/UCTWMRsg4Q8ZemtIaSkFE-uQ
55,Mariam Lifestyle,12400,,,Fashion beauty & lifestyle,https://www.youtube.com/channel/UC194wEAztTDpcGelOye3wnQ
56,RegularVoyagers,8200,,,Travel fitness & lifestyle,https://www.youtube.com/@regularvoyagers
57,Bud Spencer Official,7300,,,Classic Italian cinema,https://www.youtube.com/@BudSpencerOfficial
58,FASHION WEEK ITALY,7100,,,Street fashion & window shopping,https://www.youtube.com/channel/UCuBjY0fgeipVIrI7YhG4MVw
59,The Italy Guy,6700,,,Exploring Italy,https://www.youtube.com/channel/UCwtrOjRSGBYEbCnhVjz3EgQ
60,BonnieDarko,5600,,,Mystery & paranormal,https://www.youtube.com/@bonniedarko.youtube
61,Chateau Love,43200,,,Castle renovation in France,https://www.youtube.com/channel/UCAHvzv0ij9Kys9a0tK1eyeQ
62,Unintentionally Frenchified,35800,,,American expat life in France,https://www.youtube.com/channel/UCaNOctl4fw05wH0uinwbxg
63,The Very French Girl,32600,,,Beauty & French lifestyle,https://www.youtube.com/channel/UCCw2rHA41_Ej88EKRyzeZ3Q
64,Patricia B in France,30800,,,Cultural stories from France,https://www.youtube.com/channel/UCaZd4nmNXlBOa38XBOO5whw
65,French Kiss Life,23700,,,Elegant French-inspired living,https://www.youtube.com/channel/UC1RNNnPWpxvq7y7jK5rlOmQ
66,A French Frye in Paris,14200,,,Expat life in Paris,https://www.youtube.com/channel/UCfrkg0WfgjM_rh9YOoXfuhw
67,KJ and Tony Move to France,12800,,,American expats in France,https://www.youtube.com/channel/UC18zCCtptVhn2gyqwh7pocw
68,French Riviera 4K,11500,,,4K walks on the Cote d'Azur,https://www.youtube.com/channel/UCe2RUF85tJRN-nG0_3OYg-A
69,NicoleDeli,6800,,,Multilingual expat in Paris,https://www.youtube.com/channel/UCIru6ynTRLJh5Iuo6IDyw6A
70,Everyday Riviera,5200,,,Daily life on the French Riviera,https://www.youtube.com/channel/UCe6Z5UGgWr44Wn-wsmvXHig
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
