domain,first_seen,campaign_type,prospect_url,synthesia_target,dr,traffic,status,contact_name,contact_email,date_enriched,date_outreached,notes
aioseo.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
deel.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
oysterhr.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
globalization-partners.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
community.articulate.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
learnworlds.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
transifex.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
streamyard.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
corp.kaltura.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
clipchamp.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
payproglobal.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
panopto.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
learndash.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
training.safetyculture.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
localizejs.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
cincopa.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
ukg.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
leadfeeder.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
screenpal.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
aihr.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
powtoon.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
artlist.io,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
playplay.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
prosci.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
dacast.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
360learning.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
3playmedia.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
superside.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
navattic.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
skilljar.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
speechify.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
poeditor.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
rws.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
happyscribe.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
ewebinar.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
clearcompany.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
chartmogul.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
phrase.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
senseilms.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
amnhealthcare.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
universumglobal.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
smartling.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
akool.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
ignitevisibility.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
guidde.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
lokalise.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
lemonlight.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
lionbridge.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
simpleshow.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
verbit.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
hrcloud.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
daytranslations.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
pagetiger.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
thoughtindustries.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
axioshq.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
vectorsolutions.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
darwinbox.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
transperfect.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
globallink.transperfect.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
chronus.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
trados.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
moveworks.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
bloomfire.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
resemble.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
sociabble.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
blog.videoscribe.co,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
tomedes.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
papirfly.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
testimonialhero.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
smartcat.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
getblend.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
rask.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
desygner.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
maestra.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
captions.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
typeface.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
enboarder.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
infosysbpm.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
globalapptesting.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
theinvestorspodcast.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
bigvu.tv,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
creatify.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
idearocketanimation.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
intellum.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
superpath.co,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
directiveconsulting.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
trtc.io,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
speechmatics.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
banzai.io,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
castmagic.io,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
epiphan.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
languagewire.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
usemultiplier.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
interprefy.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
amberscript.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
academyocean.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
welocalize.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
woodwing.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
vidjet.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
talkingpts.org,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
ulatus.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
lilt.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
saastock.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
goodhabitz.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
almcorp.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
7taps.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
teamsoftware.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
alconost.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
perso.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
voquent.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
myshyft.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
devopsschool.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
camb.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
celum.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
thewordpoint.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
lingohub.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
blog.vmgstudios.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
fish.audio,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
onesky.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
translate.one,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
netchex.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
acclaro.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
vozo.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
adilo.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
dubverse.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
powell-software.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
bluetext.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
distribution.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
sync.so,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
argosmultilingual.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
motionpoint.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
gmrtranscription.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
qandle.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
clueso.io,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
localizationinstitute.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
guildhawk.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
coggno.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
herenow.film,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
rallyrecruitmentmarketing.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
youngurbanproject.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
lipsync.studio,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
humanfocus.co.uk,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
proceedinnovative.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
flagright.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
trainn.co,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
redokun.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
5mins.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
beverlyboy.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
growth-engines.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
bluecarrot.io,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
supertone.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
ssojet.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
wowto.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
storykit.io,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
veracontent.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
xtm.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
pixeltable.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
shootsta.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
bizky.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
emptrust.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
taia.io,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
interprenet.net,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
birdeatsbug.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
coffeepals.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
lipdub.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
exemplary.ai,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
mytonomy.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
filmgrail.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
assimasolutions.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
