Company Name,Domain,Website,Category,Domain Rating,Organic Traffic,Organic Keywords,Selected Video URL,Video Source,Dubbed To,Synthesia Share Link,Synthesia GIF URL,Trim Start,Trim End,Outreached
Arrows,arrows.to,https://arrows.to/,,53.0,1902,373,https://www.youtube.com/watch?v=5qzscY4yVYE,pre_detected,es,https://share.synthesia.io/da9639c2-7a3c-4a28-9b50-7b6611127b8d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/da9639c2-7a3c-4a28-9b50-7b6611127b8d/transfers/rendered_video.gif,0:00,0:30,FALSE
Jolt,jolt.com,https://www.jolt.com,,53.0,9286,1264,https://www.youtube.com/watch?v=4EYEvrY6ikc,found_on_page,es,https://share.synthesia.io/e89575ef-6a67-4ee3-879b-c444984ec9f5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e89575ef-6a67-4ee3-879b-c444984ec9f5/transfers/rendered_video.gif,0:00,0:30,FALSE
Journyx,journyx.com,https://www.journyx.com,,53.0,1248,284,https://www.youtube.com/watch?v=YOff-m-Am_0,found_on_page,es,https://share.synthesia.io/f69c4620-6c00-4e40-93d8-2db129538eaa,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f69c4620-6c00-4e40-93d8-2db129538eaa/transfers/rendered_video.gif,0:00,0:30,FALSE
ActiveFence,alice.io,https://alice.io,,52.0,1556,19,https://vimeo.com/1153868763,found_on_page,es,https://share.synthesia.io/d6124e2e-1277-4c99-8a03-dfabfa44c4f6,https://synthesia-ttv-data.s3.amazonaws.com/video_data/d6124e2e-1277-4c99-8a03-dfabfa44c4f6/transfers/rendered_video.gif,0:00,0:30,FALSE
CallProof,callproof.com,https://www.callproof.com,CRM Software,51.0,252,86,https://www.youtube.com/watch?v=qKMyTXhHzG4,pre_detected,es,https://share.synthesia.io/aab7b9c3-ac87-4629-bdcc-2a09806c62bc,https://synthesia-ttv-data.s3.amazonaws.com/video_data/aab7b9c3-ac87-4629-bdcc-2a09806c62bc/transfers/rendered_video.gif,0:00,0:30,FALSE
FarmRaise,farmraise.com,https://www.farmraise.com,,51.0,7650,1617,https://www.youtube.com/watch?v=d-dUyo-0CkY,pre_detected,es,https://share.synthesia.io/5ec8509d-f203-475d-9f46-46cfd76932bb,https://synthesia-ttv-data.s3.amazonaws.com/video_data/5ec8509d-f203-475d-9f46-46cfd76932bb/transfers/rendered_video.gif,0:00,0:30,FALSE
AgentSync,agentsync.io,https://agentsync.io/,,51.0,14565,2775,https://www.youtube.com/watch?v=zEVfohnQpDw,pre_detected,es,https://share.synthesia.io/46231c7d-d9c3-43cc-9f4a-d3e477b63438,https://synthesia-ttv-data.s3.amazonaws.com/video_data/46231c7d-d9c3-43cc-9f4a-d3e477b63438/transfers/rendered_video.gif,0:00,0:30,FALSE
Academy of Mine,academyofmine.com,https://www.academyofmine.com,,50.0,553,404,https://www.youtube.com/watch?v=lECPw9InVsU,youtube_channel,es,https://share.synthesia.io/bdaa1c2a-ce9e-4311-bce7-c8ed697e3c37,https://synthesia-ttv-data.s3.amazonaws.com/video_data/bdaa1c2a-ce9e-4311-bce7-c8ed697e3c37/transfers/rendered_video.gif,0:00,0:30,FALSE
Float,floatfinancial.com,https://floatfinancial.com/video-demo/,,50.0,19403,4982,https://www.youtube.com/watch?v=kqeFm2EtTH4,found_on_page,es,https://share.synthesia.io/87258749-94fd-4130-9a66-5f7fb2ef1586,https://synthesia-ttv-data.s3.amazonaws.com/video_data/87258749-94fd-4130-9a66-5f7fb2ef1586/transfers/rendered_video.gif,0:00,0:30,FALSE
D&B Hoovers,dnb.com.hk,https://www.dnb.com.hk/dnb-hoovers-learning/,,49.0,705,72,https://www.youtube.com/watch?v=WUktLr5BG80,found_on_page,es,https://share.synthesia.io/7629fcc1-9297-493b-9798-2c5d81ab8c90,https://synthesia-ttv-data.s3.amazonaws.com/video_data/7629fcc1-9297-493b-9798-2c5d81ab8c90/transfers/rendered_video.gif,0:00,0:30,FALSE
Digitail,digitail.com,https://www.digitail.com,,49.0,8584,658,https://www.youtube.com/watch?v=4H4is_5iAmg,pre_detected,es,https://share.synthesia.io/bff1e47b-3121-4e1e-a0fa-b49b837e486f,https://synthesia-ttv-data.s3.amazonaws.com/video_data/bff1e47b-3121-4e1e-a0fa-b49b837e486f/transfers/rendered_video.gif,0:00,0:30,FALSE
GradLeaders,gradleaders.com,https://www.gradleaders.com,,49.0,235,51,https://www.youtube.com/watch?v=O_RoUyJ0AA4,pre_detected,es,https://share.synthesia.io/55dd7a07-bf94-4453-a326-d9335842a817,https://synthesia-ttv-data.s3.amazonaws.com/video_data/55dd7a07-bf94-4453-a326-d9335842a817/transfers/rendered_video.gif,0:00,0:30,FALSE
Cherre,cherre.com,https://www.cherre.com,,48.0,885,132,https://www.youtube.com/watch?v=A7LjCgSqHhQ,pre_detected,es,https://share.synthesia.io/077b815b-b8bc-4d34-b572-2449a9180e9e,https://synthesia-ttv-data.s3.amazonaws.com/video_data/077b815b-b8bc-4d34-b572-2449a9180e9e/transfers/rendered_video.gif,0:00,0:30,FALSE
DemandFarm,demandfarm.com,https://www.demandfarm.com,,48.0,17036,1314,https://www.youtube.com/watch?v=J-Tj7uDQ2pk,pre_detected,es,https://share.synthesia.io/63a4c5e7-9edc-4faf-b322-3b898790cac1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/63a4c5e7-9edc-4faf-b322-3b898790cac1/transfers/rendered_video.gif,0:00,0:30,FALSE
DriveWorks,driveworks.co.uk,https://www.driveworks.co.uk/resources/driveworkspro/videos/,,48.0,3142,191,https://www.youtube.com/watch?v=XKc-kFNoL4o,found_on_page,es,https://share.synthesia.io/0d0ce22f-5041-437c-b8a0-50f329873dbe,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0d0ce22f-5041-437c-b8a0-50f329873dbe/transfers/rendered_video.gif,0:00,0:30,FALSE
Hummingbird,hummingbird.co,https://www.hummingbird.co/demo,,48.0,2989,548,https://www.youtube.com/watch?v=JvYK7J9SMCU,pre_detected,es,https://share.synthesia.io/fc7d2c97-36b0-4b4f-88e4-32b48e6eb550,https://synthesia-ttv-data.s3.amazonaws.com/video_data/fc7d2c97-36b0-4b4f-88e4-32b48e6eb550/transfers/rendered_video.gif,0:00,0:30,FALSE
Jungo,ijungo.com,https://ijungo.com/video-emails/,,48.0,3338,224,https://www.youtube.com/watch?v=SCOzdRxtAbI,pre_detected,es,https://share.synthesia.io/54705b5a-3765-48f3-9f69-533a6c87cca2,https://synthesia-ttv-data.s3.amazonaws.com/video_data/54705b5a-3765-48f3-9f69-533a6c87cca2/transfers/rendered_video.gif,0:00,0:30,FALSE
1CRM,1crm.com,https://www.1crm.com,,47.0,2116,303,https://www.youtube.com/watch?v=loXOCNRDEsk,youtube_channel,es,https://share.synthesia.io/6e9a8737-582e-42bb-8dde-e9aa3ebc90e8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/6e9a8737-582e-42bb-8dde-e9aa3ebc90e8/transfers/rendered_video.gif,0:00,0:30,FALSE
Clientpoint,clientpoint.net,https://www.clientpoint.net/blog/selling-through-covid-19-and-beyond-creating-connection-on-video-0-0-0,,47.0,989,314,https://vimeo.com/431914067,found_on_page,es,https://share.synthesia.io/8c7a4269-1388-46bc-8a24-1b3f83209d2d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8c7a4269-1388-46bc-8a24-1b3f83209d2d/transfers/rendered_video.gif,0:00,0:30,FALSE
EverAfter,everafter.ai,https://www.everafter.ai/happily-recordings/happily-highlight-video,,47.0,1191,395,https://fast.wistia.net/embed/iframe/k8d7krjx5c,found_on_page,es,https://share.synthesia.io/ef081360-c665-4496-8206-7dc23d62b0c8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ef081360-c665-4496-8206-7dc23d62b0c8/transfers/rendered_video.gif,3:20,3:50,FALSE
Donorbox,donorbox.com,https://www.donorbox.com,,46.0,,,https://www.youtube.com/watch?v=7pmFJ6RMG4Y,found_on_page,es,https://share.synthesia.io/3eeb3fdb-401a-45d2-ac99-04a9238af2ef,https://synthesia-ttv-data.s3.amazonaws.com/video_data/3eeb3fdb-401a-45d2-ac99-04a9238af2ef/transfers/rendered_video.gif,0:00,0:30,FALSE
Forecast,forecastpro.com,https://www.forecastpro.com/solutions/forecast-pro/quick-tour/,,43.0,1041,107,https://www.youtube.com/watch?v=DmZo7sBS1sA,found_on_page,es,https://share.synthesia.io/b5d4c653-4c71-410a-ae2a-114ceb8ad5d7,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b5d4c653-4c71-410a-ae2a-114ceb8ad5d7/transfers/rendered_video.gif,0:00,0:30,FALSE
EventDraw,eventdraw.com,https://www.eventdraw.com,,42.0,570,70,https://www.youtube.com/watch?v=yQCEF2z3Tdo,found_on_page,es,https://share.synthesia.io/66e996bd-ad44-4bd0-9ca2-81de26253648,https://synthesia-ttv-data.s3.amazonaws.com/video_data/66e996bd-ad44-4bd0-9ca2-81de26253648/transfers/rendered_video.gif,0:00,0:30,FALSE
GoProposal,goproposal.com,https://www.goproposal.com,,42.0,3688,108,https://www.youtube.com/watch?v=FmtjSKXaxUg,pre_detected,es,https://share.synthesia.io/0f0bf87d-0b25-451a-8ad0-4b000c411488,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0f0bf87d-0b25-451a-8ad0-4b000c411488/transfers/rendered_video.gif,0:02,0:30,FALSE
Gradient AI,gradientai.com,https://www.gradientai.com,,42.0,1817,147,https://vimeo.com/778634818,found_on_page,es,https://share.synthesia.io/8f63dac3-250e-48cd-b085-ae4f37200671,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8f63dac3-250e-48cd-b085-ae4f37200671/transfers/rendered_video.gif,0:00,0:30,FALSE
AutoRaptor CRM,autoraptor.com,https://www.autoraptor.com,CRM Software,41.0,2100,684,https://www.youtube.com/watch?v=-6D1yzDPHms,pre_detected,es,https://share.synthesia.io/4b78ac35-2c6f-462f-973f-85a5ecce63b8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/4b78ac35-2c6f-462f-973f-85a5ecce63b8/transfers/rendered_video.gif,0:00,0:30,FALSE
FollowUp CRM,followupcrm.com,https://www.followupcrm.com,CRM Software,41.0,2360,465,https://m.youtube.com/watch?v=z_oSLFKjK3w,pre_detected,es,https://share.synthesia.io/17b94084-a6f6-4f69-8511-aa3071cf4294,https://synthesia-ttv-data.s3.amazonaws.com/video_data/17b94084-a6f6-4f69-8511-aa3071cf4294/transfers/rendered_video.gif,0:00,0:30,FALSE
Form Simplicity,formsimplicity.com,https://www.formsimplicity.com,,41.0,5640,379,https://www.youtube.com/watch?v=VKV80QjYTWA,found_on_page,es,https://share.synthesia.io/5709d121-e9db-4d2c-b27f-df1a41e560b1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/5709d121-e9db-4d2c-b27f-df1a41e560b1/transfers/rendered_video.gif,0:00,0:30,FALSE
FluentStream,fluentstream.com,https://www.fluentstream.com,,40.0,726,88,https://www.youtube.com/watch?v=wIDCy39vWPs,pre_detected,es,https://share.synthesia.io/7243732b-cdd3-45aa-a606-7af6721c1952,https://synthesia-ttv-data.s3.amazonaws.com/video_data/7243732b-cdd3-45aa-a606-7af6721c1952/transfers/rendered_video.gif,0:00,0:30,FALSE
Confido Legal,confidolegal.com,https://www.confidolegal.com,,39.0,746,96,https://www.youtube.com/watch?v=ktzgVcRZTwU,pre_detected,es,https://share.synthesia.io/d4d190ca-d992-4d7a-a755-4075b20a9f66,https://synthesia-ttv-data.s3.amazonaws.com/video_data/d4d190ca-d992-4d7a-a755-4075b20a9f66/transfers/rendered_video.gif,0:00,0:30,FALSE
InterGuard,interguardsoftware.com,https://www.interguardsoftware.com/product-overview-video/,,38.0,546,166,https://www.youtube.com/watch?v=qlfcXXBbv14,found_on_page,es,https://share.synthesia.io/b3004521-8dc1-406f-895d-9053d5121356,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b3004521-8dc1-406f-895d-9053d5121356/transfers/rendered_video.gif,0:00,0:30,FALSE
Heron Data,herondata.io,https://www.herondata.io/,,34.0,2144,384,https://www.youtube.com/watch?v=KhBsb830tEc,pre_detected,es,https://share.synthesia.io/252dcd89-2bc0-4535-b892-3d01108a62be,https://synthesia-ttv-data.s3.amazonaws.com/video_data/252dcd89-2bc0-4535-b892-3d01108a62be/transfers/rendered_video.gif,0:17,0:26,FALSE
