Company Name,Domain,Website,Synthesia Share Link,Synthesia GIF URL
Parsec Automation,parsecautomation.com,https://www.parsecautomation.com,https://share.synthesia.io/80f63f4a-bcd0-4ccc-a88c-b95c19334b44,https://synthesia-ttv-data.s3.amazonaws.com/video_data/80f63f4a-bcd0-4ccc-a88c-b95c19334b44/transfers/rendered_video.gif
Partnerize,partnerize.com,https://www.partnerize.com,https://share.synthesia.io/1e86b719-bba5-4e6f-b486-4d4530a01ad1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/1e86b719-bba5-4e6f-b486-4d4530a01ad1/transfers/rendered_video.gif
Pear Deck,peardeck.com,https://www.peardeck.com,https://share.synthesia.io/e7daa83b-0028-40c2-83fa-08f132bb8451,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e7daa83b-0028-40c2-83fa-08f132bb8451/transfers/rendered_video.gif
PerformYard,performyard.com,https://www.performyard.com,https://share.synthesia.io/cd3a5985-8605-40d9-8316-8fea1a3a9e63,https://synthesia-ttv-data.s3.amazonaws.com/video_data/cd3a5985-8605-40d9-8316-8fea1a3a9e63/transfers/rendered_video.gif
Privy,privy.com,https://www.privy.com,https://share.synthesia.io/94366b30-c986-47c3-acfe-a4329b682b48,https://synthesia-ttv-data.s3.amazonaws.com/video_data/94366b30-c986-47c3-acfe-a4329b682b48/transfers/rendered_video.gif
Pro Rank Tracker,proranktracker.com,https://www.proranktracker.com,https://share.synthesia.io/4043a644-606c-4a1f-962e-788f1b4e6bc7,https://synthesia-ttv-data.s3.amazonaws.com/video_data/4043a644-606c-4a1f-962e-788f1b4e6bc7/transfers/rendered_video.gif
Procurement Sciences,procurementsciences.com,https://www.procurementsciences.com,https://share.synthesia.io/82d62534-b5fa-4733-bc48-73305e6e1d54,https://synthesia-ttv-data.s3.amazonaws.com/video_data/82d62534-b5fa-4733-bc48-73305e6e1d54/transfers/rendered_video.gif
ProdPad,prodpad.com,https://www.prodpad.com,https://share.synthesia.io/d604184c-d4f7-4e47-a1ca-e7abc7d891d5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/d604184c-d4f7-4e47-a1ca-e7abc7d891d5/transfers/rendered_video.gif
Productplan,productplan.com,https://www.productplan.com,https://share.synthesia.io/afbc7038-142d-4f4a-b4bb-9084e5edfef5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/afbc7038-142d-4f4a-b4bb-9084e5edfef5/transfers/rendered_video.gif
Proto.io,protoio.com,https://www.protoio.com,https://share.synthesia.io/744624c0-599f-4d92-bb49-6274d5f2a793,https://synthesia-ttv-data.s3.amazonaws.com/video_data/744624c0-599f-4d92-bb49-6274d5f2a793/transfers/rendered_video.gif
ProtoPie,protopie.com,https://www.protopie.com,https://share.synthesia.io/a59a9f19-49e7-4a90-b88c-89c8a3ec44ce,https://synthesia-ttv-data.s3.amazonaws.com/video_data/a59a9f19-49e7-4a90-b88c-89c8a3ec44ce/transfers/rendered_video.gif
Publer,publer.com,https://www.publer.com,https://share.synthesia.io/bf14d239-303d-43a5-92b2-ba998c5c4769,https://synthesia-ttv-data.s3.amazonaws.com/video_data/bf14d239-303d-43a5-92b2-ba998c5c4769/transfers/rendered_video.gif
Pulumi,pulumi.com,https://www.pulumi.com,https://share.synthesia.io/f1736948-03ef-40ba-9991-dcc9c9a0172c,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f1736948-03ef-40ba-9991-dcc9c9a0172c/transfers/rendered_video.gif
Pushwoosh,pushwoosh.com,https://www.pushwoosh.com,https://share.synthesia.io/46ae88d4-de73-4498-bbc8-b6a59735a974,https://synthesia-ttv-data.s3.amazonaws.com/video_data/46ae88d4-de73-4498-bbc8-b6a59735a974/transfers/rendered_video.gif
Qualtrics,qualtrics.com,https://www.qualtrics.com,https://share.synthesia.io/2298dcaa-a4bf-4638-aa0f-851c3216a46a,https://synthesia-ttv-data.s3.amazonaws.com/video_data/2298dcaa-a4bf-4638-aa0f-851c3216a46a/transfers/rendered_video.gif
QuestionPro,questionpro.com,https://www.questionpro.com,https://share.synthesia.io/9ceb0f1f-5a16-4a8b-9d6f-e02fb8d84a82,https://synthesia-ttv-data.s3.amazonaws.com/video_data/9ceb0f1f-5a16-4a8b-9d6f-e02fb8d84a82/transfers/rendered_video.gif
Rasa,rasa.com,https://www.rasa.com,https://share.synthesia.io/1afdb459-e454-4894-a80c-a5dc059a49b9,https://synthesia-ttv-data.s3.amazonaws.com/video_data/1afdb459-e454-4894-a80c-a5dc059a49b9/transfers/rendered_video.gif
Ravetree,ravetree.com,https://www.ravetree.com,https://share.synthesia.io/d9262ce8-351b-4195-b060-e87e75eb1cba,https://synthesia-ttv-data.s3.amazonaws.com/video_data/d9262ce8-351b-4195-b060-e87e75eb1cba/transfers/rendered_video.gif
Razorpay,razorpay.com,https://www.razorpay.com,https://share.synthesia.io/675d38da-2af3-4048-89eb-7b06824b60f9,https://synthesia-ttv-data.s3.amazonaws.com/video_data/675d38da-2af3-4048-89eb-7b06824b60f9/transfers/rendered_video.gif
Reachdesk,reachdesk.com,https://www.reachdesk.com,https://share.synthesia.io/d3c99f1e-e6f5-47fb-ad06-5b766b1f9257,https://synthesia-ttv-data.s3.amazonaws.com/video_data/d3c99f1e-e6f5-47fb-ad06-5b766b1f9257/transfers/rendered_video.gif
Real Geeks,realgeeks.com,https://www.realgeeks.com,https://share.synthesia.io/e9855c06-ac19-4b6e-a209-dcadc269f05d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e9855c06-ac19-4b6e-a209-dcadc269f05d/transfers/rendered_video.gif
RealPage,realpage.com,https://www.realpage.com,https://share.synthesia.io/bccf1cf3-d54b-4602-9a3e-e3175e39eb27,https://synthesia-ttv-data.s3.amazonaws.com/video_data/bccf1cf3-d54b-4602-9a3e-e3175e39eb27/transfers/rendered_video.gif
Reclaim.ai,reclaimai.com,https://www.reclaimai.com,https://share.synthesia.io/6fafe0a3-58e1-4930-b6ac-c33093ada66d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/6fafe0a3-58e1-4930-b6ac-c33093ada66d/transfers/rendered_video.gif
Redocly,redocly.com,https://www.redocly.com,https://share.synthesia.io/3093d51a-c820-42f3-b77c-b93146170293,https://synthesia-ttv-data.s3.amazonaws.com/video_data/3093d51a-c820-42f3-b77c-b93146170293/transfers/rendered_video.gif
Redpanda,redpanda.com,https://www.redpanda.com,https://share.synthesia.io/6a3ba089-d2aa-4099-a356-219232ad32e1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/6a3ba089-d2aa-4099-a356-219232ad32e1/transfers/rendered_video.gif
ReliaQuest,reliaquest.com,https://www.reliaquest.com,https://share.synthesia.io/4f14ccf1-06ec-4655-8443-18965c71252b,https://synthesia-ttv-data.s3.amazonaws.com/video_data/4f14ccf1-06ec-4655-8443-18965c71252b/transfers/rendered_video.gif
Remofirst,remofirst.com,https://www.remofirst.com,https://share.synthesia.io/a9ba56b8-bce2-428c-99df-da45319fae70,https://synthesia-ttv-data.s3.amazonaws.com/video_data/a9ba56b8-bce2-428c-99df-da45319fae70/transfers/rendered_video.gif
Remove.bg,removebg.com,https://www.removebg.com,https://share.synthesia.io/42156ed3-d0c8-4127-8076-1d693ef9bde1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/42156ed3-d0c8-4127-8076-1d693ef9bde1/transfers/rendered_video.gif
RentRedi,rentredi.com,https://www.rentredi.com,https://share.synthesia.io/d88c415f-a370-4752-9f68-94a92667d8da,https://synthesia-ttv-data.s3.amazonaws.com/video_data/d88c415f-a370-4752-9f68-94a92667d8da/transfers/rendered_video.gif
Resend,resend.com,https://www.resend.com,https://share.synthesia.io/1aefc7b2-87b1-4717-bda7-833033e1afba,https://synthesia-ttv-data.s3.amazonaws.com/video_data/1aefc7b2-87b1-4717-bda7-833033e1afba/transfers/rendered_video.gif
Respona,respona.com,https://www.respona.com,https://share.synthesia.io/24297087-c23d-4a2e-b1cf-1db192bba3cc,https://synthesia-ttv-data.s3.amazonaws.com/video_data/24297087-c23d-4a2e-b1cf-1db192bba3cc/transfers/rendered_video.gif
RethinkFirst,rethinkfirst.com,https://www.rethinkfirst.com,https://share.synthesia.io/a493c2cd-8057-4e1d-a47a-16f7c236486e,https://synthesia-ttv-data.s3.amazonaws.com/video_data/a493c2cd-8057-4e1d-a47a-16f7c236486e/transfers/rendered_video.gif
Retool,retool.com,https://www.retool.com,https://share.synthesia.io/8e9aa5c0-f1dd-4055-9804-3641d4894aeb,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8e9aa5c0-f1dd-4055-9804-3641d4894aeb/transfers/rendered_video.gif
Rippling,rippling.com,https://www.rippling.com,https://share.synthesia.io/8f6fd72b-51bc-41d3-ad8a-e8ca05b2e8a5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8f6fd72b-51bc-41d3-ad8a-e8ca05b2e8a5/transfers/rendered_video.gif
Rise Vision,risevision.com,https://www.risevision.com,https://share.synthesia.io/530daaa0-632a-492c-9839-3e00cf20fdfa,https://synthesia-ttv-data.s3.amazonaws.com/video_data/530daaa0-632a-492c-9839-3e00cf20fdfa/transfers/rendered_video.gif
Rosetta Stone,rosettastone.com,https://www.rosettastone.com,https://share.synthesia.io/2fd75ea0-b8df-4ac6-8117-72640e2e221c,https://synthesia-ttv-data.s3.amazonaws.com/video_data/2fd75ea0-b8df-4ac6-8117-72640e2e221c/transfers/rendered_video.gif
Rotacloud,rotacloud.com,https://www.rotacloud.com,https://share.synthesia.io/717f29fa-962e-42fe-a256-23ef6cd4e769,https://synthesia-ttv-data.s3.amazonaws.com/video_data/717f29fa-962e-42fe-a256-23ef6cd4e769/transfers/rendered_video.gif
RunwayML,runwayml.com,https://www.runwayml.com,https://share.synthesia.io/4d6ec627-0835-421f-81d5-846fb66f968b,https://synthesia-ttv-data.s3.amazonaws.com/video_data/4d6ec627-0835-421f-81d5-846fb66f968b/transfers/rendered_video.gif
Rutter,rutter.com,https://www.rutter.com,https://share.synthesia.io/3579a804-f72b-4893-a700-200f25d27b4a,https://synthesia-ttv-data.s3.amazonaws.com/video_data/3579a804-f72b-4893-a700-200f25d27b4a/transfers/rendered_video.gif
Rydoo,rydoo.com,https://www.rydoo.com,https://share.synthesia.io/7329b59c-3f47-44df-8341-3ca153e223fe,https://synthesia-ttv-data.s3.amazonaws.com/video_data/7329b59c-3f47-44df-8341-3ca153e223fe/transfers/rendered_video.gif
SalesHood,saleshood.com,https://www.saleshood.com,https://share.synthesia.io/89da2cc6-6fe1-4cc0-a197-bfdddb278f3b,https://synthesia-ttv-data.s3.amazonaws.com/video_data/89da2cc6-6fe1-4cc0-a197-bfdddb278f3b/transfers/rendered_video.gif
Scalekit,scalekit.com,https://www.scalekit.com,https://share.synthesia.io/5921591e-4de4-459d-9be4-f61c08ced762,https://synthesia-ttv-data.s3.amazonaws.com/video_data/5921591e-4de4-459d-9be4-f61c08ced762/transfers/rendered_video.gif
Scaleway,scaleway.com,https://www.scaleway.com,https://share.synthesia.io/b4f6c592-4c7c-44d7-a55f-972821f6dcac,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b4f6c592-4c7c-44d7-a55f-972821f6dcac/transfers/rendered_video.gif
SchoolAuction,schoolauction.com,https://www.schoolauction.com,https://share.synthesia.io/759291c9-049e-46c5-bcd3-64a1196d1c26,https://synthesia-ttv-data.s3.amazonaws.com/video_data/759291c9-049e-46c5-bcd3-64a1196d1c26/transfers/rendered_video.gif
memoQ,memoq.com,https://www.memoq.com,https://share.synthesia.io/ccb78165-7ff4-4007-8740-a312473044f0,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ccb78165-7ff4-4007-8740-a312473044f0/transfers/rendered_video.gif
nCino,ncino.com,https://www.ncino.com,https://share.synthesia.io/53aa4020-08f4-47a4-af0b-4293370e4d24,https://synthesia-ttv-data.s3.amazonaws.com/video_data/53aa4020-08f4-47a4-af0b-4293370e4d24/transfers/rendered_video.gif
project44,project44.com,https://www.project44.com,https://share.synthesia.io/e5bab9d5-6952-427e-b407-a21ec5395eb0,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e5bab9d5-6952-427e-b407-a21ec5395eb0/transfers/rendered_video.gif
