Company Name,Domain,Website,Category,Domain Rating,Organic Traffic,Organic Keywords,YouTube Channel,Selected Video URL,Video Source,Page URL,Trim Start,Trim End,Dubbed To,Synthesia Share Link,Synthesia GIF URL,Outreach Status,Matched Customer,Customer Lifecycle,Match Type
AccuRanker,accuranker.com,https://www.accuranker.com,,72.0,26786,2898,https://www.youtube.com/@accuranker5974,https://www.youtube.com/watch?v=Z3fiaSgT0-Y,youtube_channel,,0:04,0:35,es,https://share.synthesia.io/6cdcf705-b64b-4440-8124-2cd58b7143a7,https://synthesia-ttv-data.s3.amazonaws.com/video_data/6cdcf705-b64b-4440-8124-2cd58b7143a7/transfers/rendered_video.gif,SAFE,,,
Acceldata,acceldata.io,https://www.acceldata.io/,,65.0,42101,4886,https://www.youtube.com/@acceldatainc,https://www.youtube.com/watch?v=Z7Sz_JWoF3g,youtube_channel,,0:03,0:30,es,https://share.synthesia.io/b14abc2d-565b-4dc9-9b31-3d346d09820e,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b14abc2d-565b-4dc9-9b31-3d346d09820e/transfers/rendered_video.gif,SAFE,,,
BigContacts,bigcontacts.com,https://www.bigcontacts.com,CRM Software,63.0,41007,3812,,,unknown,,0:00,0:30,,,,SAFE,,,
Calamari,calamari.io,https://www.calamari.io/,,63.0,7097,669,,,unknown,,0:00,0:30,,,,SAFE,,,
Assembled,assembled.com,https://www.assembled.com,,62.0,8942,1228,,,unknown,,0:00,0:30,,,,SAFE,,,
BigTime,bigtime.net,https://www.bigtime.net/blogs/bigtime-wallet-demo/,,62.0,27331,3363,,https://vimeo.com/1021024213,found_on_page,https://www.bigtime.net/blogs/bigtime-wallet-demo/,0:16,0:40,es,https://share.synthesia.io/3fcf03e0-3213-4c1c-8715-38e59ebcbd10,https://synthesia-ttv-data.s3.amazonaws.com/video_data/3fcf03e0-3213-4c1c-8715-38e59ebcbd10/transfers/rendered_video.gif,SAFE,,,
ClientSuccess,clientsuccess.com,https://www.clientsuccess.com,,62.0,3934,487,,https://www.youtube.com/watch?v=9Ss6uLw__K0,pre_detected,,0:00,0:30,es,https://share.synthesia.io/7779872f-396f-4a8d-a0e6-cdffa4d88e3b,https://synthesia-ttv-data.s3.amazonaws.com/video_data/7779872f-396f-4a8d-a0e6-cdffa4d88e3b/transfers/rendered_video.gif,SAFE,,,
Codat,codat.io,https://codat.io/,,62.0,2044,194,,https://www.youtube.com/watch?v=0BpYCE8xDuY,pre_detected,,0:22,0:52,es,https://share.synthesia.io/17eeeb3a-e687-4a43-9f8c-fa705d33ab0a,https://synthesia-ttv-data.s3.amazonaws.com/video_data/17eeeb3a-e687-4a43-9f8c-fa705d33ab0a/transfers/rendered_video.gif,SAFE,,,
Condens,condens.io,https://condens.io/help/-/getting-started/,,62.0,2546,139,,https://www.youtube.com/watch?v=Ti48H8QJUfE,pre_detected,,0:00,0:17,es,https://share.synthesia.io/3bf6fda5-c4b3-4de0-bc5d-df398e90fbd7,https://synthesia-ttv-data.s3.amazonaws.com/video_data/3bf6fda5-c4b3-4de0-bc5d-df398e90fbd7/transfers/rendered_video.gif,SAFE,,,
Drag,dragapp.com,https://www.dragapp.com/watch-demo/,,62.0,18723,3956,,https://www.youtube.com/watch?v=Ogb0cdt606I,found_on_page,https://www.dragapp.com/watch-demo/,0:00,0:30,es,https://share.synthesia.io/ec9c9a3e-2a21-4faf-a9bc-84784de10996,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ec9c9a3e-2a21-4faf-a9bc-84784de10996/transfers/rendered_video.gif,SAFE,,,
Dundas BI,dundas.com,https://www.dundas.com/resources/videos/how-to-build-a-dashboard,,62.0,1519,475,,https://www.youtube.com/watch?v=JBXhsQ5HnW8,found_on_page,https://www.dundas.com/resources/videos/how-to-build-a-dashboard,0:00,0:30,es,https://share.synthesia.io/e1ad403d-2b3f-4d2b-af93-f2f213421f1c,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e1ad403d-2b3f-4d2b-af93-f2f213421f1c/transfers/rendered_video.gif,SAFE,,,
Featurespace,featurespace.com,https://www.featurespace.com,,62.0,2678,228,,https://www.youtube.com/watch?v=dPtz6HlsH7s,pre_detected,,0:00,0:30,es,https://share.synthesia.io/99f2f996-b84c-4ed1-928b-808c06e9430b,https://synthesia-ttv-data.s3.amazonaws.com/video_data/99f2f996-b84c-4ed1-928b-808c06e9430b/transfers/rendered_video.gif,SAFE,,,
Gladia,gladia.io,https://www.gladia.io/,,62.0,6036,1263,,https://www.youtube.com/watch?v=toAcpe0LSpI,found_on_page,,0:00,0:30,es,https://share.synthesia.io/973c7b2d-bc8e-4779-ab90-01f8f35523fc,https://synthesia-ttv-data.s3.amazonaws.com/video_data/973c7b2d-bc8e-4779-ab90-01f8f35523fc/transfers/rendered_video.gif,SAFE,,,
GreyOrange,greyorange.com,https://www.greyorange.com,,62.0,4293,99,,https://www.youtube.com/watch?v=kEmk2DPCzLA,pre_detected,,0:00,0:30,es,https://share.synthesia.io/2441cd34-a2a6-481c-8143-36b681a04187,https://synthesia-ttv-data.s3.amazonaws.com/video_data/2441cd34-a2a6-481c-8143-36b681a04187/transfers/rendered_video.gif,SAFE,,,
Anomalo,anomalo.com,https://www.anomalo.com,,61.0,2919,260,,https://www.youtube.com/watch?v=kGBn1jqk8OI,pre_detected,,0:10,0:40,es,https://share.synthesia.io/e6ba1d76-63e3-4869-a3f1-33eb07a0f0ed,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e6ba1d76-63e3-4869-a3f1-33eb07a0f0ed/transfers/rendered_video.gif,SAFE,,,
Bridge,getbridge.com,https://www.getbridge.com/,,61.0,4059,602,,https://www.youtube.com/watch?v=vvXiJSfr-hM,found_on_page,,0:00,0:30,es,https://share.synthesia.io/96c00dd2-0fde-471a-bac0-b6bbe3239045,https://synthesia-ttv-data.s3.amazonaws.com/video_data/96c00dd2-0fde-471a-bac0-b6bbe3239045/transfers/rendered_video.gif,SAFE,,,
Dashword,dashword.com,https://www.dashword.com,,61.0,4137,292,,https://vimeo.com/773100060,found_on_page,,0:00,0:30,es,https://share.synthesia.io/cc279d0f-2dac-4c36-8584-92e6f36326fd,https://synthesia-ttv-data.s3.amazonaws.com/video_data/cc279d0f-2dac-4c36-8584-92e6f36326fd/transfers/rendered_video.gif,SAFE,,,
Issuetrak,issuetrak.com,https://www.issuetrak.com,CRM Software,61.0,915,137,,https://www.youtube.com/watch?v=1nMDqMComf4,pre_detected,,0:00,0:30,es,https://share.synthesia.io/0993e2bd-d1e9-4ff9-bab4-a04fb8f2d3b1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0993e2bd-d1e9-4ff9-bab4-a04fb8f2d3b1/transfers/rendered_video.gif,SAFE,,,
AgriWebb,agriwebb.com,https://www.agriwebb.com,,61.0,2603,365,,https://www.youtube.com/watch?v=H4VqqIzJ-8g,pre_detected,,0:03,0:33,es,https://share.synthesia.io/532bf68c-0f51-40eb-b24e-df415d489d40,https://synthesia-ttv-data.s3.amazonaws.com/video_data/532bf68c-0f51-40eb-b24e-df415d489d40/transfers/rendered_video.gif,SAFE,,,
Atomicwork,atomicwork.com,https://www.atomicwork.com,,60.0,5882,919,,https://vimeo.com/1143738927,found_on_page,,0:00,0:30,es,https://share.synthesia.io/bd72984f-c16c-42ba-a177-edc214ca9b27,https://synthesia-ttv-data.s3.amazonaws.com/video_data/bd72984f-c16c-42ba-a177-edc214ca9b27/transfers/rendered_video.gif,SAFE,,,
Aurelius,tmssoftware.com,https://www.tmssoftware.com/site/videos.asp?p=aurelius&srsltid=AfmBOooTm7kToQuc0WezLZvqSwQJN_VVwnD4wLez0R9zv86f3adLxyN2,,60.0,4105,354,,https://www.youtube.com/watch?v=yxzNoxhLXzk,pre_detected,,0:06,0:36,es,https://share.synthesia.io/08c15c62-4612-4c0a-9bce-aa711d2d2470,https://synthesia-ttv-data.s3.amazonaws.com/video_data/08c15c62-4612-4c0a-9bce-aa711d2d2470/transfers/rendered_video.gif,SAFE,,,
Beeline,beeline.com,https://www.beeline.com,,60.0,30682,2448,,https://www.youtube.com/watch?v=M4Kg-qAydwg,pre_detected,,0:00,0:30,es,https://share.synthesia.io/fabfa128-7bc9-41db-bccb-d3dddb246d00,https://synthesia-ttv-data.s3.amazonaws.com/video_data/fabfa128-7bc9-41db-bccb-d3dddb246d00/transfers/rendered_video.gif,BLOCKED,Beeline Group,Opportunity,AI_PARENT_SUBSIDIARY
Brokermint,brokermint.com,https://www.brokermint.com,,60.0,17759,174,,https://www.youtube.com/watch?v=vAAs3NhutKg,pre_detected,,0:00,0:30,es,https://share.synthesia.io/980b4ea9-00ea-4a39-a6b3-e21df510b650,https://synthesia-ttv-data.s3.amazonaws.com/video_data/980b4ea9-00ea-4a39-a6b3-e21df510b650/transfers/rendered_video.gif,SAFE,,,
CalAmp,calamp.com,https://www.calamp.com,,60.0,5406,1328,,https://www.youtube.com/watch?v=yt3AYZndwaE,found_on_page,,0:00,0:30,es,https://share.synthesia.io/8a38fab5-bd4c-48c0-aebb-4775bb02d5d4,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8a38fab5-bd4c-48c0-aebb-4775bb02d5d4/transfers/rendered_video.gif,SAFE,,,
ClockShark,clockshark.com,https://www.clockshark.com,,60.0,45492,2268,,https://www.youtube.com/watch?v=AxZiL_nvSCU,pre_detected,,0:00,0:30,es,https://share.synthesia.io/90b9bfaf-9460-400d-8c7b-418f67daca56,https://synthesia-ttv-data.s3.amazonaws.com/video_data/90b9bfaf-9460-400d-8c7b-418f67daca56/transfers/rendered_video.gif,SAFE,,,
Craft,craft.io,https://craft.io/resources/videos/,,60.0,4242,2418,,https://www.youtube.com/watch?v=P67oUMCM_jg,found_on_page,,0:00,0:30,,,,SAFE,,,
Gloo,gloo.com,https://www.gloo.com,,60.0,5589,254,,https://www.youtube.com/watch?v=SqKgS5D1Wa0,pre_detected,,0:00,0:30,es,https://share.synthesia.io/b13fe233-3973-49fe-86a7-5c86ff662ee2,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b13fe233-3973-49fe-86a7-5c86ff662ee2/transfers/rendered_video.gif,SAFE,,,
Hyro AI,hyro.ai,https://www.hyro.ai/resources/videos/,,60.0,2943,405,,https://www.youtube.com/watch?v=PFoHsmcF7A8,pre_detected,,0:00,0:30,,,,SAFE,,,
At-Bay,at-bay.com,https://www.at-bay.com/learn/,,59.0,3045,486,,https://www.youtube.com/watch?v=_C77asGgC8E,pre_detected,,0:00,0:30,es,https://share.synthesia.io/b832abe3-fb2d-4e2f-8a68-7358043b7b63,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b832abe3-fb2d-4e2f-8a68-7358043b7b63/transfers/rendered_video.gif,SAFE,,,
Bold BI,boldbi.com,https://www.boldbi.com,,59.0,4685,1160,,https://www.youtube.com/watch?v=5muZGIuYctw,pre_detected,,0:00,0:30,es,https://share.synthesia.io/8bd15365-6673-42d7-b758-67f16409f117,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8bd15365-6673-42d7-b758-67f16409f117/transfers/rendered_video.gif,SAFE,,,
Carrd,carrd.com,https://www.carrd.com,,59.0,31,1,,https://www.youtube.com/watch?v=1PL6NntBaK4,pre_detected,,0:00,0:30,es,https://share.synthesia.io/6a2e41ac-3436-40aa-85be-38e34abdd59f,https://synthesia-ttv-data.s3.amazonaws.com/video_data/6a2e41ac-3436-40aa-85be-38e34abdd59f/transfers/rendered_video.gif,SAFE,,,
Dragonboat,dragonboat.io,https://dragonboat.io/solutions/strategic-portfolio-management-spm/,,59.0,1598,166,,https://vimeo.com/1014875538,found_on_page,,0:00,0:30,es,https://share.synthesia.io/49df8feb-494c-4aab-a173-654536a24612,https://synthesia-ttv-data.s3.amazonaws.com/video_data/49df8feb-494c-4aab-a173-654536a24612/transfers/rendered_video.gif,SAFE,,,
Flywheel,flywheel.io,https://flywheel.io/insights/youtube-insights/flywheel-demo,,59.0,1794,140,,https://www.youtube.com/watch?v=Rzvmxj-JOQE,found_on_page,,0:00,0:30,es,https://share.synthesia.io/7528feb4-eba8-48bd-9de1-5701b439f1e5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/7528feb4-eba8-48bd-9de1-5701b439f1e5/transfers/rendered_video.gif,SAFE,,,
HCSS,hcss.com,https://www.hcss.com,,59.0,20942,1404,,https://www.youtube.com/watch?v=CsborGZVUEA,pre_detected,,0:00,0:30,es,https://share.synthesia.io/1bdafbe7-9d88-477f-8805-70f222e8b55d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/1bdafbe7-9d88-477f-8805-70f222e8b55d/transfers/rendered_video.gif,SAFE,,,
ContractPodAi,contractpodai.com,https://www.contractpodai.com,,58.0,2304,479,,https://www.youtube.com/watch?v=RZsPI71E0GY,pre_detected,,0:00,0:30,es,https://share.synthesia.io/b746c363-5680-4f6c-8a3c-c7aa5060e984,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b746c363-5680-4f6c-8a3c-c7aa5060e984/transfers/rendered_video.gif,SAFE,,,
CurrentWare,currentware.com,https://www.currentware.com,,58.0,4952,1588,,https://www.youtube.com/watch?v=56oOvHSlnUo,pre_detected,,0:00,0:30,es,https://share.synthesia.io/327b3115-0bef-4dba-b133-bdd37ae304f8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/327b3115-0bef-4dba-b133-bdd37ae304f8/transfers/rendered_video.gif,SAFE,,,
Ebsta,ebsta.com,https://www.ebsta.com,,58.0,523,62,,https://www.youtube.com/watch?v=uL7K5wKx4Vc,pre_detected,,0:04,0:36,es,https://share.synthesia.io/44f33efa-1664-4863-8f47-06d8e1bb6eb5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/44f33efa-1664-4863-8f47-06d8e1bb6eb5/transfers/rendered_video.gif,SAFE,,,
HawkSoft,hawksoft.com,https://www.hawksoft.com,,58.0,2215,196,,https://www.youtube.com/watch?v=n8f24fhVfhA,pre_detected,,0:03,0:30,es,https://share.synthesia.io/ceb9c003-8957-4324-a1ee-4be7f0f8bdce,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ceb9c003-8957-4324-a1ee-4be7f0f8bdce/transfers/rendered_video.gif,SAFE,,,
Impel,impel.ai,https://impel.ai/feature-tour/,,58.0,7078,248,,https://www.youtube.com/watch?v=L25x-btbbto,pre_detected,,0:07,0:30,es,https://share.synthesia.io/2b765d5a-0009-46a9-ab4e-6f0240a736da,https://synthesia-ttv-data.s3.amazonaws.com/video_data/2b765d5a-0009-46a9-ab4e-6f0240a736da/transfers/rendered_video.gif,SAFE,,,
Introhive,introhive.com,https://www.introhive.com,,58.0,3942,347,,https://www.youtube.com/watch?v=lJ6SMTksWdE,found_on_page,,0:00,0:30,es,https://share.synthesia.io/9f0e7496-8b41-4417-8758-862d615f2941,https://synthesia-ttv-data.s3.amazonaws.com/video_data/9f0e7496-8b41-4417-8758-862d615f2941/transfers/rendered_video.gif,SAFE,,,
AccountEdge,accountedge.com,https://www.accountedge.com,,57.0,6649,844,https://www.youtube.com/@accountedge,https://www.youtube.com/watch?v=tCbSdkksJ_4,found_on_page,,0:03,0:30,es,https://share.synthesia.io/4e1d4ef2-bb03-4db8-bd2c-932c0c183356,https://synthesia-ttv-data.s3.amazonaws.com/video_data/4e1d4ef2-bb03-4db8-bd2c-932c0c183356/transfers/rendered_video.gif,SAFE,,,
Contractor Foreman,contractorforeman.com,https://www.contractorforeman.com,,57.0,17086,1235,,https://www.youtube.com/watch?v=P6xIg34ASVM,pre_detected,,0:00,0:30,es,https://share.synthesia.io/f578e186-bd98-470c-b5e5-ff73b6da8420,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f578e186-bd98-470c-b5e5-ff73b6da8420/transfers/rendered_video.gif,SAFE,,,
Evisort,evisort.com,https://www.evisort.com,,57.0,6200,521,,https://www.youtube.com/watch?v=Kd3yhgAyQNg,pre_detected,,0:07,0:30,es,https://share.synthesia.io/36a7fbaa-ea52-45fc-af0c-adf6b7edd935,https://synthesia-ttv-data.s3.amazonaws.com/video_data/36a7fbaa-ea52-45fc-af0c-adf6b7edd935/transfers/rendered_video.gif,SAFE,,,
Hotelogix,hotelogix.com,https://www.hotelogix.com,,57.0,9832,933,,https://www.youtube.com/watch?v=IKq_NbBO3Jw,pre_detected,,0:00,0:30,es,https://share.synthesia.io/c35c4710-0685-488c-b510-536723ce5870,https://synthesia-ttv-data.s3.amazonaws.com/video_data/c35c4710-0685-488c-b510-536723ce5870/transfers/rendered_video.gif,SAFE,,,
Botkeeper,botkeeper.com,https://www.botkeeper.com,,56.0,2793,861,,https://www.youtube.com/watch?v=Q3qPyZDzvmY,pre_detected,,0:00,0:30,es,https://share.synthesia.io/1518fefe-833f-4b20-9b0d-8878272b9acf,https://synthesia-ttv-data.s3.amazonaws.com/video_data/1518fefe-833f-4b20-9b0d-8878272b9acf/transfers/rendered_video.gif,SAFE,,,
Cincom,cincom.com,https://www.cincom.com,,56.0,7067,1186,,https://www.youtube.com/watch?v=ZIs7IATuxhQ,pre_detected,,0:00,0:30,es,https://share.synthesia.io/3e66610b-277b-42e3-a812-b4da5c8c54fb,https://synthesia-ttv-data.s3.amazonaws.com/video_data/3e66610b-277b-42e3-a812-b4da5c8c54fb/transfers/rendered_video.gif,SAFE,,,
EyeSpy360,eyespy360.com,https://www.eyespy360.com,,56.0,882,70,,https://www.youtube.com/watch?v=EOzVifqKKU0,pre_detected,,0:05,0:30,,,,BLOCKED,EyeSpy360,Prospect,EMAIL_DOMAIN
GUIDEcx,guidecx.com,https://www.guidecx.com,,56.0,10800,251,,https://www.youtube.com/watch?v=TE0dStiAJW8,pre_detected,,0:00,0:30,es,https://share.synthesia.io/0af45d3a-794f-42ed-8721-3119b8d82280,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0af45d3a-794f-42ed-8721-3119b8d82280/transfers/rendered_video.gif,SAFE,,,
Influ2,influ2.com,https://www.influ2.com,,56.0,2841,217,,https://www.youtube.com/watch?v=mshVZ4q1Y78,pre_detected,,0:00,0:30,es,https://share.synthesia.io/cc337238-d0e5-4fcf-a33e-233a455f17b2,https://synthesia-ttv-data.s3.amazonaws.com/video_data/cc337238-d0e5-4fcf-a33e-233a455f17b2/transfers/rendered_video.gif,SAFE,,,
Ethena,goethena.com,https://www.goethena.com/post/best-compliance-training-software/,,55.0,3224,1551,,https://www.youtube.com/watch?v=mwdWkpvQoUw,pre_detected,,0:00,0:30,es,https://share.synthesia.io/bb43e056-d8c7-4a42-952f-afe78eb46690,https://synthesia-ttv-data.s3.amazonaws.com/video_data/bb43e056-d8c7-4a42-952f-afe78eb46690/transfers/rendered_video.gif,SAFE,,,
Berrycast,berrycast.com,https://www.berrycast.com,,55.0,881,174,,https://www.youtube.com/watch?v=f1w9aovcKdQ,pre_detected,,0:00,0:30,es,https://share.synthesia.io/e089af17-ba12-40ee-9e66-b8f6380be704,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e089af17-ba12-40ee-9e66-b8f6380be704/transfers/rendered_video.gif,SAFE,,,
Function Point,functionpoint.com,https://www.functionpoint.com,,55.0,2520,308,,https://www.youtube.com/watch?v=8wzuIgf9QNo,pre_detected,,0:00,0:30,es,https://share.synthesia.io/f5920e8d-fd40-4f11-aa1f-e108729dc6ed,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f5920e8d-fd40-4f11-aa1f-e108729dc6ed/transfers/rendered_video.gif,SAFE,,,
Artera,artera.io,https://artera.io/request-a-demo/,,54.0,2612,251,,https://www.youtube.com/watch?v=XCIw4Wq3Puw,pre_detected,,0:21,0:51,es,https://share.synthesia.io/ff4eeb65-4b78-4be6-b3c8-d76e5fd501bf,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ff4eeb65-4b78-4be6-b3c8-d76e5fd501bf/transfers/rendered_video.gif,SAFE,,,
BillingPlatform,billingplatform.com,https://www.billingplatform.com,,54.0,19025,2743,,https://www.youtube.com/watch?v=iIlpcBeyzPo,pre_detected,,0:00,0:30,es,https://share.synthesia.io/59d22572-2825-47cc-a78c-1cad145882fd,https://synthesia-ttv-data.s3.amazonaws.com/video_data/59d22572-2825-47cc-a78c-1cad145882fd/transfers/rendered_video.gif,SAFE,,,
Fairmarkit,fairmarkit.com,https://www.fairmarkit.com,,54.0,16983,1363,,https://vimeo.com/951141445,found_on_page,,0:00,0:30,es,https://share.synthesia.io/f87ce1d5-557e-4fae-bb4f-748f50c07510,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f87ce1d5-557e-4fae-bb4f-748f50c07510/transfers/rendered_video.gif,SAFE,,,
AgWorld,agworld.com,https://www.agworld.com,,54.0,3004,62,,https://www.youtube.com/watch?v=z19aly3H48c,pre_detected,,0:00,0:30,es,https://share.synthesia.io/06574090-b189-4a5c-8ede-71536dfd89ab,https://synthesia-ttv-data.s3.amazonaws.com/video_data/06574090-b189-4a5c-8ede-71536dfd89ab/transfers/rendered_video.gif,SAFE,,,
Genius ERP,geniuserp.com,https://www.geniuserp.com,,54.0,9802,1521,,https://www.youtube.com/watch?v=JQudE-PH1Ow,pre_detected,,0:00,0:30,es,https://share.synthesia.io/34150a60-e884-4b94-b119-55b7b0733912,https://synthesia-ttv-data.s3.amazonaws.com/video_data/34150a60-e884-4b94-b119-55b7b0733912/transfers/rendered_video.gif,SAFE,,,
GoTab,gotab.com,https://www.gotab.com,,54.0,1676,490,,https://vimeo.com/1115903616,found_on_page,,0:00,0:30,es,https://share.synthesia.io/c65377ea-e2e6-476f-86fb-7cea8e633bc6,https://synthesia-ttv-data.s3.amazonaws.com/video_data/c65377ea-e2e6-476f-86fb-7cea8e633bc6/transfers/rendered_video.gif,SAFE,,,
Jonas Fitness,jonasfitness.com,https://www.jonasfitness.com,,54.0,88,41,,https://www.youtube.com/watch?v=dW001yeMDHA,pre_detected,,0:00,0:30,es,https://share.synthesia.io/492ee4cc-b372-46c1-b543-accccc04f2d1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/492ee4cc-b372-46c1-b543-accccc04f2d1/transfers/rendered_video.gif,SAFE,,,
Ajera,ajera.com,https://www.ajera.com,,53.0,6248,47,,https://www.youtube.com/watch?v=-qnB3vVpz2w&list=PLdEoltwSFlwkuNdEVzh28qyVVSKNajvfj&index=1,pre_detected,,0:00,0:30,es,https://share.synthesia.io/ecd2e810-9c04-4964-b4f8-0aef19840499,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ecd2e810-9c04-4964-b4f8-0aef19840499/transfers/rendered_video.gif,SAFE,,,
Arrows,arrows.to,https://arrows.to/,,53.0,1902,373,,https://www.youtube.com/watch?v=5qzscY4yVYE,pre_detected,,0:00,0:30,es,https://share.synthesia.io/da9639c2-7a3c-4a28-9b50-7b6611127b8d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/da9639c2-7a3c-4a28-9b50-7b6611127b8d/transfers/rendered_video.gif,SAFE,,,
Jolt,jolt.com,https://www.jolt.com,,53.0,9286,1264,,https://www.youtube.com/watch?v=4EYEvrY6ikc,found_on_page,,0:00,0:30,es,https://share.synthesia.io/e89575ef-6a67-4ee3-879b-c444984ec9f5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e89575ef-6a67-4ee3-879b-c444984ec9f5/transfers/rendered_video.gif,SAFE,,,
